common garden;plant;nr;day;life stage;count
tomato;B;4;12;e;58
tomato;B;4;12;l;5
tomato;B;4;12;p;6
tomato;B;4;12;d;4
tomato;B;4;12;af;11
tomato;B;4;12;am;3
tomato;B;5;12;e;41
tomato;B;5;12;l;5
tomato;B;5;12;p;3
tomato;B;5;12;d;11
tomato;B;5;12;af;19
tomato;B;5;12;am;2
tomato;B;6;12;e;23
tomato;B;6;12;l;1
tomato;B;6;12;p;7
tomato;B;6;12;d;11
tomato;B;6;12;af;10
tomato;B;6;12;am;4
tomato;B;7;12;e;27
tomato;B;7;12;l;2
tomato;B;7;12;p;4
tomato;B;7;12;d;4
tomato;B;7;12;af;6
tomato;B;7;12;am;5
tomato;B;8;12;e;17
tomato;B;8;12;l;0
tomato;B;8;12;p;0
tomato;B;8;12;d;2
tomato;B;8;12;af;2
tomato;B;8;12;am;4
bean;C;1;12;e;0
bean;C;1;12;l;5
bean;C;1;12;p;1
bean;C;1;12;d;7
bean;C;1;12;af;2
bean;C;1;12;am;4
bean;C;2;12;e;4
bean;C;2;12;l;2
bean;C;2;12;p;7
bean;C;2;12;d;16
bean;C;2;12;af;0
bean;C;2;12;am;0
bean;C;3;12;e;0
bean;C;3;12;l;0
bean;C;3;12;p;1
bean;C;3;12;d;9
bean;C;3;12;af;3
bean;C;3;12;am;2
bean;C;4;12;e;0
bean;C;4;12;l;0
bean;C;4;12;p;5
bean;C;4;12;d;18
bean;C;4;12;af;0
bean;C;4;12;am;1
bean;C;5;12;e;4
bean;C;5;12;l;9
bean;C;5;12;p;5
bean;C;5;12;d;14
bean;C;5;12;af;6
bean;C;5;12;am;3
bean;C;6;12;e;0
bean;C;6;12;l;1
bean;C;6;12;p;4
bean;C;6;12;d;5
bean;C;6;12;af;1
bean;C;6;12;am;2
bean;C;7;12;e;0
bean;C;7;12;l;0
bean;C;7;12;p;2
bean;C;7;12;d;12
bean;C;7;12;af;0
bean;C;7;12;am;4
bean;C;8;12;e;4
bean;C;8;12;l;2
bean;C;8;12;p;1
bean;C;8;12;d;12
bean;C;8;12;af;4
bean;C;8;12;am;3
tomato;C;1;12;e;0
tomato;C;1;12;l;2
tomato;C;1;12;p;7
tomato;C;1;12;d;12
tomato;C;1;12;af;1
tomato;C;1;12;am;2
tomato;C;2;12;e;4
tomato;C;2;12;l;2
tomato;C;2;12;p;0
tomato;C;2;12;d;1
tomato;C;2;12;af;5
tomato;C;2;12;am;5
tomato;C;4;12;e;1
tomato;C;4;12;l;0
tomato;C;4;12;p;0
tomato;C;4;12;d;4
tomato;C;4;12;af;4
tomato;C;4;12;am;4
tomato;C;5;12;e;0
tomato;C;5;12;l;5
tomato;C;5;12;p;4
tomato;C;5;12;d;18
tomato;C;5;12;af;1
tomato;C;5;12;am;2
tomato;C;6;12;e;4
tomato;C;6;12;l;3
tomato;C;6;12;p;5
tomato;C;6;12;d;11
tomato;C;6;12;af;5
tomato;C;6;12;am;3
tomato;C;7;12;e;5
tomato;C;7;12;l;1
tomato;C;7;12;p;0
tomato;C;7;12;d;5
tomato;C;7;12;af;5
tomato;C;7;12;am;3
tomato;C;8;12;e;1
tomato;C;8;12;l;1
tomato;C;8;12;p;0
tomato;C;8;12;d;9
tomato;C;8;12;af;5
tomato;C;8;12;am;10
bean;T;1;12;e;8
bean;T;1;12;l;0
bean;T;1;12;p;0
bean;T;1;12;d;0
bean;T;1;12;af;0
bean;T;1;12;am;1
bean;T;2;12;e;1
bean;T;2;12;l;6
bean;T;2;12;p;9
bean;T;2;12;d;12
bean;T;2;12;af;12
bean;T;2;12;am;6
bean;T;3;12;e;0
bean;T;3;12;l;0
bean;T;3;12;p;0
bean;T;3;12;d;0
bean;T;3;12;af;0
bean;T;3;12;am;0
bean;T;4;12;e;10
bean;T;4;12;l;0
bean;T;4;12;p;0
bean;T;4;12;d;0
bean;T;4;12;af;0
bean;T;4;12;am;0
bean;T;5;12;e;0
bean;T;5;12;l;0
bean;T;5;12;p;0
bean;T;5;12;d;0
bean;T;5;12;af;0
bean;T;5;12;am;0
bean;T;6;12;e;9
bean;T;6;12;l;0
bean;T;6;12;p;0
bean;T;6;12;d;0
bean;T;6;12;af;6
bean;T;6;12;am;2
bean;T;7;12;e;0
bean;T;7;12;l;1
bean;T;7;12;p;4
bean;T;7;12;d;17
bean;T;7;12;af;7
bean;T;7;12;am;0
bean;T;8;12;e;0
bean;T;8;12;l;0
bean;T;8;12;p;0
bean;T;8;12;d;2
bean;T;8;12;af;2
bean;T;8;12;am;0
tomato;T;1;12;e;0
tomato;T;1;12;l;1
tomato;T;1;12;p;7
tomato;T;1;12;d;0
tomato;T;1;12;af;0
tomato;T;1;12;am;0
tomato;T;2;12;e;2
tomato;T;2;12;l;0
tomato;T;2;12;p;15
tomato;T;2;12;d;13
tomato;T;2;12;af;0
tomato;T;2;12;am;0
tomato;T;3;12;e;3
tomato;T;3;12;l;6
tomato;T;3;12;p;4
tomato;T;3;12;d;13
tomato;T;3;12;af;20
tomato;T;3;12;am;4
tomato;T;4;12;e;0
tomato;T;4;12;l;1
tomato;T;4;12;p;5
tomato;T;4;12;d;2
tomato;T;4;12;af;0
tomato;T;4;12;am;7
tomato;T;5;12;e;0
tomato;T;5;12;l;1
tomato;T;5;12;p;4
tomato;T;5;12;d;5
tomato;T;5;12;af;0
tomato;T;5;12;am;0
tomato;T;6;12;e;0
tomato;T;6;12;l;0
tomato;T;6;12;p;0
tomato;T;6;12;d;1
tomato;T;6;12;af;4
tomato;T;6;12;am;2
tomato;T;7;12;e;1
tomato;T;7;12;l;0
tomato;T;7;12;p;0
tomato;T;7;12;d;14
tomato;T;7;12;af;9
tomato;T;7;12;am;1
tomato;T;8;12;e;1
tomato;T;8;12;l;1
tomato;T;8;12;p;8
tomato;T;8;12;d;4
tomato;T;8;12;af;1
tomato;T;8;12;am;1
